PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,name,title
1,NO,3,1,22,1,0,21171,7.25,0,2,1,1
2,YES,1,0,38,1,0,17599,71.2833,1,1,2,2
3,YES,3,0,26,0,0,3101282,7.925,0,2,3,3
4,YES,1,0,35,1,0,113803,53.1,1,2,4,2
5,NO,3,1,35,0,0,373450,8.05,0,2,5,1
6,NO,3,1,0,0,0,330877,8.4583,0,3,6,1
7,NO,1,1,54,0,0,17463,51.8625,1,2,7,1
8,NO,3,1,2,3,1,349909,21.075,0,2,8,4
9,YES,3,0,27,0,2,347742,11.1333,0,2,9,2
10,YES,2,0,14,1,0,237736,30.0708,0,1,10,2
11,YES,3,0,4,1,1,9549,16.7,1,2,11,3
12,YES,1,0,58,0,0,113783,26.55,1,2,12,3
13,NO,3,1,20,0,0,2151,8.05,0,2,13,1
14,NO,3,1,39,1,5,347082,31.275,0,2,14,1
15,NO,3,0,14,0,0,350406,7.8542,0,2,15,3
16,YES,2,0,55,0,0,248706,16,0,2,16,2
17,NO,3,1,2,4,1,382652,29.125,0,3,17,4
18,YES,2,1,0,0,0,244373,13,0,2,18,1
19,NO,3,0,31,1,0,345763,18,0,2,19,2
20,YES,3,0,0,0,0,2649,7.225,0,1,20,2
21,NO,2,1,35,0,0,239865,26,0,2,21,1
22,YES,2,1,34,0,0,248698,13,1,2,22,1
23,YES,3,0,15,0,0,330923,8.0292,0,3,23,3
24,YES,1,1,28,0,0,113788,35.5,1,2,24,1
25,NO,3,0,8,3,1,349909,21.075,0,2,8,3
26,YES,3,0,38,1,5,347077,31.3875,0,2,25,2
27,NO,3,1,0,0,0,2631,7.225,0,1,26,1
28,NO,1,1,19,3,2,19950,263,1,2,27,1
29,YES,3,0,0,0,0,330959,7.8792,0,3,28,3
30,NO,3,1,0,0,0,349216,7.8958,0,2,29,1
31,NO,1,1,40,0,0,17601,27.7208,0,1,30,5
32,YES,1,0,0,1,0,17569,146.5208,1,1,31,2
33,YES,3,0,0,0,0,335677,7.75,0,3,32,3
34,NO,2,1,66,0,0,24579,10.5,0,2,33,1
35,NO,1,1,28,1,0,17604,82.1708,0,1,34,1
36,NO,1,1,42,1,0,113789,52,0,2,35,1
37,YES,3,1,0,0,0,2677,7.2292,0,1,36,1
38,NO,3,1,21,0,0,2152,8.05,0,2,37,1
39,NO,3,0,18,2,0,345764,18,0,2,19,3
40,YES,3,0,14,1,0,2651,11.2417,0,1,38,3
41,NO,3,0,40,1,0,7546,9.475,0,2,39,2
42,NO,2,0,27,1,0,11668,21,0,2,40,2
43,NO,3,1,0,0,0,349253,7.8958,0,1,41,1
44,YES,2,0,3,1,2,2123,41.5792,0,1,42,3
45,YES,3,0,19,0,0,330958,7.8792,0,3,43,3
46,NO,3,1,0,0,0,23567,8.05,0,2,44,1
47,NO,3,1,0,1,0,370371,15.5,0,3,45,1
48,YES,3,0,0,0,0,14311,7.75,0,3,46,3
49,NO,3,1,0,2,0,2662,21.6792,0,1,47,1
50,NO,3,0,18,1,0,349237,17.8,0,2,48,2
51,NO,3,1,7,4,1,3101295,39.6875,0,2,49,4
52,NO,3,1,21,0,0,39886,7.8,0,2,50,1
53,YES,1,0,49,1,0,17572,76.7292,1,1,51,2
54,YES,2,0,29,1,0,2926,26,0,2,52,2
55,NO,1,1,65,0,1,113509,61.9792,1,1,53,1
56,YES,1,1,0,0,0,19947,35.5,1,2,54,1
57,YES,2,0,21,0,0,31026,10.5,0,2,55,3
58,NO,3,1,28.5,0,0,2697,7.2292,0,1,56,1
59,YES,2,0,5,1,2,34651,27.75,0,2,57,3
60,NO,3,1,11,5,2,2144,46.9,0,2,58,4
61,NO,3,1,22,0,0,2669,7.2292,0,1,59,1
62,YES,1,0,38,0,0,113572,80,1,0,60,3
63,NO,1,1,45,1,0,36973,83.475,1,2,61,1
64,NO,3,1,4,3,2,347088,27.9,0,2,62,4
65,NO,1,1,0,0,0,17605,27.7208,0,1,63,1
66,YES,3,1,0,1,1,2661,15.2458,0,1,64,4
67,YES,2,0,29,0,0,29395,10.5,1,2,65,2
68,NO,3,1,19,0,0,3464,8.1583,0,2,66,1
69,YES,3,0,17,4,2,3101281,7.925,0,2,14,3
70,NO,3,1,26,2,0,315151,8.6625,0,2,67,1
71,NO,2,1,32,0,0,33111,10.5,0,2,68,1
72,NO,3,0,16,5,2,2144,46.9,0,2,58,3
73,NO,2,1,21,0,0,14879,73.5,0,2,69,1
74,NO,3,1,26,1,0,2680,14.4542,0,1,70,1
75,YES,3,1,32,0,0,1601,56.4958,0,2,71,1
76,NO,3,1,25,0,0,348123,7.65,1,2,72,1
77,NO,3,1,0,0,0,349208,7.8958,0,2,73,1
78,NO,3,1,0,0,0,374746,8.05,0,2,74,1
79,YES,2,1,0.83,0,2,248738,29,0,2,75,4
80,YES,3,0,30,0,0,364516,12.475,0,2,76,3
81,NO,3,1,22,0,0,345767,9,0,2,77,1
82,YES,3,1,29,0,0,345779,9.5,0,2,78,1
83,YES,3,0,0,0,0,330932,7.7875,0,3,79,3
84,NO,1,1,28,0,0,113059,47.1,0,2,80,1
85,YES,2,0,17,0,0,14885,10.5,0,2,81,3
86,YES,3,0,33,3,0,3101278,15.85,0,2,82,2
87,NO,3,1,16,1,3,6608,34.375,0,2,83,1
88,NO,3,1,0,0,0,392086,8.05,0,2,84,1
89,YES,1,0,23,3,2,19950,263,1,2,27,3
90,NO,3,1,24,0,0,343275,8.05,0,2,85,1
91,NO,3,1,29,0,0,343276,8.05,0,2,86,1
92,NO,3,1,20,0,0,347466,7.8542,0,2,87,1
93,NO,1,1,46,1,0,5734,61.175,1,2,88,1
94,NO,3,1,26,1,2,2315,20.575,0,2,89,1
95,NO,3,1,59,0,0,364500,7.25,0,2,90,1
96,NO,3,1,0,0,0,374910,8.05,0,2,91,1
97,NO,1,1,71,0,0,17754,34.6542,1,1,92,1
98,YES,1,1,23,0,1,17759,63.3583,1,1,93,1
99,YES,2,0,34,0,1,231919,23,0,2,94,2
100,NO,2,1,34,1,0,244367,26,0,2,95,1
101,NO,3,0,28,0,0,349245,7.8958,0,2,96,3
102,NO,3,1,0,0,0,349215,7.8958,0,2,97,1
103,NO,1,1,21,0,1,35281,77.2875,1,2,98,1
104,NO,3,1,33,0,0,7540,8.6542,0,2,99,1
105,NO,3,1,37,2,0,3101276,7.925,0,2,100,1
106,NO,3,1,28,0,0,349207,7.8958,0,2,101,1
107,YES,3,0,21,0,0,343120,7.65,0,2,102,3
108,YES,3,1,0,0,0,312991,7.775,0,2,103,1
109,NO,3,1,38,0,0,349249,7.8958,0,2,104,1
110,YES,3,0,0,1,0,371110,24.15,0,3,6,3
111,NO,1,1,47,0,0,110465,52,1,2,105,1
112,NO,3,0,14.5,1,0,2665,14.4542,0,1,106,3
113,NO,3,1,22,0,0,324669,8.05,0,2,107,1
114,NO,3,0,20,1,0,4136,9.825,0,2,108,3
115,NO,3,0,17,0,0,2627,14.4583,0,1,109,3
116,NO,3,1,21,0,0,3101294,7.925,0,2,110,1
117,NO,3,1,70.5,0,0,370369,7.75,0,3,111,1
118,NO,2,1,29,1,0,11668,21,0,2,40,1
119,NO,1,1,24,0,1,17558,247.5208,1,1,112,1
120,NO,3,0,2,4,2,347082,31.275,0,2,14,3
121,NO,2,1,21,2,0,14879,73.5,0,2,113,1
122,NO,3,1,0,0,0,54510,8.05,0,2,114,1
123,NO,2,1,32.5,1,0,237736,30.0708,0,1,10,1
124,YES,2,0,32.5,0,0,27267,13,1,2,115,3
125,NO,1,1,54,0,1,35281,77.2875,1,2,98,1
126,YES,3,1,12,1,0,2651,11.2417,0,1,38,4
127,NO,3,1,0,0,0,370372,7.75,0,3,116,1
128,YES,3,1,24,0,0,17369,7.1417,0,2,117,1
129,YES,3,0,0,1,1,2668,22.3583,1,1,118,3
130,NO,3,1,45,0,0,347061,6.975,0,2,119,1
131,NO,3,1,33,0,0,349241,7.8958,0,1,120,1
132,NO,3,1,20,0,0,3101307,7.05,0,2,121,1
133,NO,3,0,47,1,0,3337,14.5,0,2,122,2
134,YES,2,0,29,1,0,228414,26,0,2,123,2
135,NO,2,1,25,0,0,29178,13,0,2,124,1
136,NO,2,1,23,0,0,2133,15.0458,0,1,125,1
137,YES,1,0,19,0,2,11752,26.2833,1,2,126,3
138,NO,1,1,37,1,0,113803,53.1,1,2,4,1
139,NO,3,1,16,0,0,7534,9.2167,0,2,127,1
140,NO,1,1,24,0,0,17593,79.2,1,1,128,1
141,NO,3,0,0,0,2,2678,15.2458,0,1,129,2
142,YES,3,0,22,0,0,347081,7.75,0,2,130,3
143,YES,3,0,24,1,0,3101279,15.85,0,2,131,2
144,NO,3,1,19,0,0,365222,6.75,0,3,132,1
145,NO,2,1,18,0,0,231945,11.5,0,2,133,1
146,NO,2,1,19,1,1,33112,36.75,0,2,134,1
147,YES,3,1,27,0,0,350043,7.7958,0,2,14,1
148,NO,3,0,9,2,2,6608,34.375,0,2,83,3
149,NO,2,1,36.5,0,2,230080,26,1,2,135,1
150,NO,2,1,42,0,0,244310,13,0,2,136,6
151,NO,2,1,51,0,0,1166,12.525,0,2,137,6
152,YES,1,0,22,1,0,113776,66.6,1,2,138,2
153,NO,3,1,55.5,0,0,11206,8.05,0,2,139,1
154,NO,3,1,40.5,0,2,851,14.5,0,2,140,1
155,NO,3,1,0,0,0,265302,7.3125,0,2,141,1
156,NO,1,1,51,0,1,17597,61.3792,0,1,18,1
157,YES,3,0,16,0,0,35851,7.7333,0,3,142,3
158,NO,3,1,30,0,0,392090,8.05,0,2,143,1
159,NO,3,1,0,0,0,315037,8.6625,0,2,144,1
160,NO,3,1,0,8,2,2343,69.55,0,2,145,4
161,NO,3,1,44,0,1,371362,16.1,0,2,146,1
162,YES,2,0,40,0,0,33595,15.75,0,2,147,2
163,NO,3,1,26,0,0,347068,7.775,0,2,148,1
164,NO,3,1,17,0,0,315093,8.6625,0,2,149,1
165,NO,3,1,1,4,1,3101295,39.6875,0,2,49,4
166,YES,3,1,9,0,2,363291,20.525,0,2,150,4
167,YES,1,0,0,0,1,113505,55,1,2,151,2
168,NO,3,0,45,1,4,347088,27.9,0,2,62,2
169,NO,1,1,0,0,0,17318,25.925,0,2,152,1
170,NO,3,1,28,0,0,1601,56.4958,0,2,153,1
171,NO,1,1,61,0,0,111240,33.5,1,2,154,1
172,NO,3,1,4,4,1,382652,29.125,0,3,17,4
173,YES,3,0,1,1,1,347742,11.1333,0,2,9,3
174,NO,3,1,21,0,0,3101280,7.925,0,2,155,1
175,NO,1,1,56,0,0,17764,30.6958,1,1,156,1
176,NO,3,1,18,1,1,350404,7.8542,0,2,157,1
177,NO,3,1,0,3,1,4133,25.4667,0,2,158,4
178,NO,1,0,50,0,0,17595,28.7125,1,1,159,3
179,NO,2,1,30,0,0,250653,13,0,2,160,1
180,NO,3,1,36,0,0,0,0,2,0,161,1
181,NO,3,0,0,8,2,2343,69.55,0,2,145,3
182,NO,2,1,0,0,0,2131,15.05,0,1,162,1
183,NO,3,1,9,4,2,347077,31.3875,0,2,25,4
